Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,Postion
 grace ,25.0,50000.0,M,hr,Manager,05/04/2018,D,email@example.com,000-000-0000,manager
 david ,35.0,65000.0,F,finance,Director,01/01/2000,F,user@domain.com,123-456-7890,director
 hannah ,35.0,65000.0,F,sales,Director,01/15/2020,C,email@example.com,098-765-4321,director
 eve ,35.0,50000.0,F,it,Manager,05/04/2018,A,name@company.org, ,manager
 grace ,35.0,65000.0,F,finance,Manager,01/15/2020,F,name@company.org,098-765-4321,manager
 jack ,35.0,65000.0,Other,marketing,Director,01/01/2000,F,user@domain.com,000-000-0000,director
 charlie ,35.0,50000.0,M,marketing,Clerk,01/01/2000,B,noemail.example.com,123-456-7890,clerk
 grace ,40.0,50000.0,Other,hr,Director,01/01/2000,C,noemail.example.com, ,director
 hannah ,40.0,65000.0,F,marketing,Manager,01/15/2020,C,user@domain.com,123-456-7890,manager
 eve ,35.0,65000.0,Other,finance,Assistant,01/01/2000,A,noemail.example.com, ,assistant
 david ,25.0,70000.0,M,marketing,Analyst,01/01/2000,B,noemail.example.com,123-456-7890,analyst
 hannah ,35.0,70000.0,Other,finance,Assistant,01/01/2000,A,noemail.example.com,000-000-0000,assistant
 hannah ,35.0,50000.0,M,it,Assistant,05/04/2018,D,noemail.example.com, ,assistant
 charlie ,25.0,55000.0,Other,hr,Manager,01/01/2000,F,noemail.example.com,555-555-5555,manager
 frank ,50.0,65000.0,M,marketing,Director,01/01/2000,A,noemail.example.com,123-456-7890,director
 eve ,35.0,65000.0,M,finance,Clerk,05/04/2018,F,noemail.example.com,123-456-7890,clerk
 bob ,40.0,55000.0,F,sales,Assistant,01/15/2020,B,noemail.example.com,098-765-4321,assistant
 hannah ,50.0,55000.0,M,hr,Director,05/04/2018,D,user@domain.com, ,director
 frank ,25.0,65000.0,F,it,Clerk,01/01/2000,B,email@example.com,555-555-5555,clerk
 bob ,50.0,50000.0,F,finance,Assistant,01/01/2000,D,user@domain.com,000-000-0000,assistant
 eve ,35.0,50000.0,F,it,Clerk,01/15/2020,D,email@example.com,098-765-4321,clerk
 alice ,25.0,50000.0,Other,it,Director,05/04/2018,F,user@domain.com,555-555-5555,director
 jack ,50.0,50000.0,Other,marketing,Analyst,05/04/2018,B,email@example.com, ,analyst
 frank ,40.0,70000.0,Other,marketing,Director,01/15/2020,B,email@example.com,555-555-5555,director
 ivy ,40.0,50000.0,Other,finance,Manager,05/04/2018,A,name@company.org,123-456-7890,manager
 alice ,35.0,70000.0,M,sales,Clerk,01/15/2020,B,email@example.com,123-456-7890,clerk
 jack ,50.0,70000.0,M,finance,Analyst,01/01/2000,A,email@example.com,098-765-4321,analyst
 charlie ,35.0,50000.0,Other,sales,Clerk,01/01/2000,C,name@company.org, ,clerk
 grace ,50.0,65000.0,M,it,Clerk,01/01/2000,C,noemail.example.com, ,clerk
 david ,25.0,65000.0,M,hr,Assistant,01/01/2000,C,noemail.example.com,555-555-5555,assistant
